                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3833,                 3.9821,                 1.7004,                0.40426,                0.07163,                0.04395,                0.02874,                 1.3185,                 3.8228,                  1.534,               0.067004,             0.00033329,             0.00033329
                      2,                   1.18,                 3.4275,                 1.5179,                0.35961,                0.11796,                0.07237,                0.04784,                 1.2609,                 3.6132,                 1.4854,               0.033938,             0.00060063,             0.00060063
                      3,                 1.1594,                  3.339,                 1.4925,                 0.4783,                0.07231,                0.06533,                0.04241,                 1.3027,                 3.7741,                 1.5324,              0.0008062,             0.00080197,             0.00080197
                      4,                 1.1421,                 3.2743,                 1.4717,                0.02364,                0.42857,                0.05165,                0.03266,                  1.363,                 4.0976,                 1.6028,               0.000703,               0.000703,               0.000703
                      5,                 1.1352,                 3.2466,                 1.4623,                0.02411,                0.46747,                0.05661,                0.03648,                 1.3409,                 4.0022,                 1.5781,               0.000703,               0.000703,               0.000703
                      6,                 1.1222,                 3.1949,                 1.4498,                 0.0825,                0.32739,                0.06888,                0.04496,                 1.2959,                 3.7934,                 1.5235,               0.000604,               0.000604,               0.000604
                      7,                 1.1094,                 3.1458,                 1.4389,                0.48003,                0.07011,                0.07968,                0.05236,                 1.2682,                 3.6385,                 1.4865,               0.000505,               0.000505,               0.000505
                      8,                 1.0968,                 3.0942,                 1.4274,                 0.4139,                0.09767,                0.08925,                0.05892,                 1.2491,                 3.5295,                 1.4631,               0.000406,               0.000406,               0.000406
                      9,                 1.0827,                 3.0345,                 1.4167,                0.36073,                0.11886,                0.09746,                0.06446,                 1.2365,                  3.451,                 1.4466,               0.000307,               0.000307,               0.000307
                     10,                 1.0653,                 2.9634,                 1.4052,                0.33908,                0.13596,                0.10449,                 0.0695,                 1.2257,                 3.3922,                 1.4374,               0.000208,               0.000208,               0.000208
